LGA,Month,Year,Persons_fever,RDT_tested,positive_by_RDT,Microscopy_tested,positive_by_Microscopy,Month_Num,Date,RDT_Positive_Rate,Microscopy_Positive_Rate
 Ado ,December,2021,788,788,526,0.0,0.0,12,2021-12-01,0.6675126903553299,
 Ado ,October,2021,470,470,325,0.0,0.0,10,2021-10-01,0.6914893617021277,
 Ado ,July,2021,616,581,367,0.0,0.0,07,2021-07-01,0.6316695352839932,
 Ado ,September,2021,652,652,352,0.0,0.0,09,2021-09-01,0.5398773006134969,
 Ado ,August,2021,894,893,599,0.0,0.0,08,2021-08-01,0.6707726763717805,
 Ado ,January,2021,540,538,341,0.0,0.0,01,2021-01-01,0.6338289962825279,
 Ado ,May,2021,622,622,422,0.0,0.0,05,2021-05-01,0.6784565916398714,
 Ado ,February,2021,479,466,315,13.0,8.0,02,2021-02-01,0.6759656652360515,0.6153846153846154
 Ado ,April,2021,582,578,389,0.0,0.0,04,2021-04-01,0.6730103806228374,
 Ado ,March,2021,780,800,540,0.0,0.0,03,2021-03-01,0.675,
 Ado ,Novemr,2021,941,941,718,0.0,0.0,,,0.7630180658873539,
 Ado ,June,2021,666,665,471,0.0,0.0,06,2021-06-01,0.7082706766917293,
 Ado ,February,2022,1530,1530,821,0.0,0.0,02,2022-02-01,0.5366013071895425,
 Ado ,May,2022,1776,1772,1078,0.0,0.0,05,2022-05-01,0.608352144469526,
 Ado ,April,2022,2170,2170,1197,0.0,0.0,04,2022-04-01,0.5516129032258065,
 Ado ,September,2022,2993,2993,568,0.0,0.0,09,2022-09-01,0.18977614433678583,
 Ado ,July,2022,429,422,165,0.0,0.0,07,2022-07-01,0.3909952606635071,
 Ado ,December,2022,637,510,442,0.0,0.0,12,2022-12-01,0.8666666666666667,
 Ado ,March,2022,965,958,527,0.0,0.0,03,2022-03-01,0.5501043841336117,
 Ado ,June,2022,2523,2326,1460,9.0,4.0,06,2022-06-01,0.6276870163370594,0.4444444444444444
 Ado ,Novemr,2022,1086,1086,683,0.0,0.0,,,0.6289134438305709,
 Ado ,January,2022,699,699,331,0.0,0.0,01,2022-01-01,0.47353361945636624,
 Ado ,October,2022,2199,2164,1093,0.0,0.0,10,2022-10-01,0.505083179297597,
 Ado ,August,2022,952,944,683,0.0,0.0,08,2022-08-01,0.7235169491525424,
 Ado ,January,2023,2539,2539,1371,0.0,0.0,01,2023-01-01,0.5399763686490744,
 Ado ,October,2023,2479,2479,1461,0.0,0.0,10,2023-10-01,0.5893505445744252,
 Ado ,Novemr,2023,2971,3133,2387,82.0,0.0,,,0.7618895627194382,0.0
 Ado ,July,2023,2420,2435,1838,7.0,0.0,07,2023-07-01,0.7548254620123204,0.0
 Ado ,September,2023,2467,2467,1426,0.0,0.0,09,2023-09-01,0.5780299959464937,
 Ado ,August,2023,2200,2183,1303,6.0,6.0,08,2023-08-01,0.5968850206138342,1.0
 Ado ,February,2023,1660,1652,1182,8.0,8.0,02,2023-02-01,0.715496368038741,1.0
 Ado ,December,2023,1901,1901,1384,0.0,0.0,12,2023-12-01,0.7280378748027354,
 Ado ,March,2023,2049,2049,1343,0.0,0.0,03,2023-03-01,0.6554416788677404,
 Ado ,June,2023,2232,2232,1219,0.0,0.0,06,2023-06-01,0.546146953405018,
 Ado ,May,2023,1386,1385,783,4.0,0.0,05,2023-05-01,0.5653429602888087,0.0
 Ado ,April,2023,1986,1878,1050,10.0,9.0,04,2023-04-01,0.5591054313099042,0.9
 Ado ,February,2024,1665,1620,1409,0.0,0.0,02,2024-02-01,0.8697530864197531,
 Ado ,June,2024,1547,1364,1068,0.0,0.0,06,2024-06-01,0.782991202346041,
 Ado ,August,2024,596,596,402,1.0,0.0,08,2024-08-01,0.674496644295302,0.0
 Ado ,January,2024,347,358,280,0.0,0.0,01,2024-01-01,0.7821229050279329,
 Ado ,December,2024,502,455,369,9.0,0.0,12,2024-12-01,0.810989010989011,0.0
 Ado ,October,2024,2144,2091,1626,0.0,0.0,10,2024-10-01,0.7776183644189383,
 Ado ,May,2024,548,532,327,0.0,0.0,05,2024-05-01,0.6146616541353384,
 Ado ,March,2024,1607,1549,1080,3.0,0.0,03,2024-03-01,0.697224015493867,0.0
 Ado ,April,2024,620,620,551,0.0,0.0,04,2024-04-01,0.8887096774193548,
 Ado ,September,2024,618,606,386,0.0,0.0,09,2024-09-01,0.636963696369637,
 Ado ,July,2024,850,847,684,0.0,0.0,07,2024-07-01,0.807556080283353,
 Ado ,Novemr,2024,602,602,443,0.0,0.0,,,0.7358803986710963,
 Agatu ,September,2021,495,495,353,0.0,0.0,09,2021-09-01,0.7131313131313132,
 Agatu ,July,2021,580,566,359,0.0,0.0,07,2021-07-01,0.6342756183745583,
 Agatu ,Novemr,2021,950,950,687,0.0,0.0,,,0.7231578947368421,
 Agatu ,June,2021,638,630,459,0.0,0.0,06,2021-06-01,0.7285714285714285,
 Agatu ,April,2021,672,673,420,0.0,0.0,04,2021-04-01,0.6240713224368499,
 Agatu ,March,2021,512,505,349,2.0,0.0,03,2021-03-01,0.691089108910891,0.0
 Agatu ,January,2021,178,178,120,0.0,0.0,01,2021-01-01,0.6741573033707865,
 Agatu ,August,2021,622,622,407,0.0,0.0,08,2021-08-01,0.6543408360128617,
 Agatu ,October,2021,964,961,805,0.0,0.0,10,2021-10-01,0.8376690946930281,
 Agatu ,May,2021,741,687,445,0.0,0.0,05,2021-05-01,0.6477438136826783,
 Agatu ,February,2021,291,291,241,0.0,0.0,02,2021-02-01,0.8281786941580757,
 Agatu ,December,2021,313,318,226,0.0,0.0,12,2021-12-01,0.710691823899371,
 Agatu ,August,2022,880,880,475,0.0,0.0,08,2022-08-01,0.5397727272727273,
 Agatu ,January,2022,1082,1058,614,0.0,0.0,01,2022-01-01,0.5803402646502835,
 Agatu ,December,2022,909,878,598,0.0,0.0,12,2022-12-01,0.6810933940774487,
 Agatu ,Novemr,2022,1695,1695,915,2.0,0.0,,,0.5398230088495575,0.0
 Agatu ,October,2022,1468,1441,919,0.0,0.0,10,2022-10-01,0.6377515614156836,
 Agatu ,March,2022,861,861,399,0.0,0.0,03,2022-03-01,0.4634146341463415,
 Agatu ,May,2022,588,429,255,66.0,39.0,05,2022-05-01,0.5944055944055944,0.5909090909090909
 Agatu ,April,2022,875,847,505,15.0,13.0,04,2022-04-01,0.5962219598583235,0.8666666666666667
 Agatu ,June,2022,777,751,309,0.0,0.0,06,2022-06-01,0.41145139813581894,
 Agatu ,February,2022,915,909,418,0.0,0.0,02,2022-02-01,0.4598459845984598,
 Agatu ,September,2022,756,756,239,0.0,0.0,09,2022-09-01,0.31613756613756616,
 Agatu ,July,2022,1004,1012,614,0.0,0.0,07,2022-07-01,0.6067193675889329,
 Agatu ,October,2023,2370,2350,1298,0.0,9.0,10,2023-10-01,0.5523404255319149,
 Agatu ,January,2023,2625,2401,1429,5.0,19.0,01,2023-01-01,0.5951686797167847,3.8
 Agatu ,July,2023,2409,2409,1692,0.0,0.0,07,2023-07-01,0.7023661270236613,
 Agatu ,August,2023,3049,3038,2182,0.0,0.0,08,2023-08-01,0.7182356813693219,
 Agatu ,February,2023,1772,1772,981,0.0,0.0,02,2023-02-01,0.5536117381489842,
 Agatu ,March,2023,2460,2460,1346,0.0,0.0,03,2023-03-01,0.5471544715447154,
 Agatu ,June,2023,2625,2610,1979,4.0,13.0,06,2023-06-01,0.7582375478927204,3.25
 Agatu ,April,2023,3420,3411,2307,0.0,0.0,04,2023-04-01,0.6763412489006156,
 Agatu ,September,2023,1898,1938,1085,0.0,0.0,09,2023-09-01,0.5598555211558307,
 Agatu ,Novemr,2023,1993,1993,1049,0.0,0.0,,,0.5263421976919217,
 Agatu ,December,2023,1615,1615,698,4.0,0.0,12,2023-12-01,0.4321981424148607,0.0
 Agatu ,May,2023,3104,3093,2262,3.0,3.0,05,2023-05-01,0.7313288069835111,1.0
 Agatu ,February,2024,302,291,193,0.0,0.0,02,2024-02-01,0.6632302405498282,
 Agatu ,Novemr,2024,833,827,582,3.0,2.0,,,0.7037484885126964,0.6666666666666666
 Agatu ,April,2024,918,908,400,0.0,0.0,04,2024-04-01,0.44052863436123346,
 Agatu ,May,2024,1713,1660,1185,6.0,2.0,05,2024-05-01,0.713855421686747,0.3333333333333333
 Agatu ,July,2024,1521,456,351,0.0,0.0,07,2024-07-01,0.7697368421052632,
 Agatu ,September,2024,630,630,436,0.0,0.0,09,2024-09-01,0.692063492063492,
 Agatu ,December,2024,678,664,480,2.0,0.0,12,2024-12-01,0.7228915662650602,0.0
 Agatu ,January,2024,1581,1329,914,0.0,0.0,01,2024-01-01,0.6877351392024078,
 Agatu ,October,2024,1775,1617,1158,9.0,0.0,10,2024-10-01,0.7161410018552876,0.0
 Agatu ,June,2024,763,767,595,0.0,0.0,06,2024-06-01,0.7757496740547588,
 Agatu ,March,2024,1197,939,674,0.0,0.0,03,2024-03-01,0.7177848775292864,
 Agatu ,August,2024,840,839,648,0.0,0.0,08,2024-08-01,0.7723480333730631,
 Apa ,June,2021,432,432,283,0.0,0.0,06,2021-06-01,0.6550925925925926,
 Apa ,March,2021,804,805,558,0.0,0.0,03,2021-03-01,0.6931677018633541,
 Apa ,December,2021,545,543,285,0.0,0.0,12,2021-12-01,0.5248618784530387,
 Apa ,January,2021,540,540,383,0.0,0.0,01,2021-01-01,0.7092592592592593,
 Apa ,October,2021,603,587,370,0.0,0.0,10,2021-10-01,0.6303236797274276,
 Apa ,May,2021,228,225,150,0.0,0.0,05,2021-05-01,0.6666666666666666,
